
units= {

	##### NAVAL UNITS #####
	### Türk Donanmasi ###
	fleet = {
		name = "Türk Donanmasi"			
		naval_base = 4112 # Izmir
		
		task_force = {				
			name = "Türk Donanmasi"			
			location = 4112 # Izmir
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }
			ship = { name = "Light cruiser 1" definition = light_cruiser start_experience_factor = 0.25 equipment = { ship_hull_cruiser_1 = { amount = 1 owner = TUR version_name = "Crusier" } } }

			#Kocatepe Classs
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
			ship = { name = "Kocatepe Class 1" definition = destroyer start_experience_factor = 0.25 equipment = { ship_hull_light_1 = { amount = 1 owner = TUR version_name = "Kocatepe Class" } } }
